left_source_id,right_source_id,label,score,hard_contradiction,blocking_keys,same_retailer,brand_exact,brand_fuzzy,title_token_set,title_partial,category_exact,model_token_jaccard,salient_token_jaccard,size_match,size_conflict,pack_match,pack_conflict,price_ratio_diff,price_both_present,identifier_any,exact_ean,exact_gtin,exact_upc,exact_asin,exact_sku_same_retailer,exact_sku_cross_retailer,lexical_sim,trigram_sim,semantic_sim,retrieval_layer_count,variant_conflict
94911,503065,1,0.8387443975462645,1,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9776552429821763,3.0,0.0
501072,503804,1,0.8381892492755874,0,exact:asin:b0dmvj11hb|exact:sku:b0dmvj11hb|lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10247349823321555,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9659582704841166,4.0,0.0
60327,501521,1,0.8260044272277551,0,exact:asin:b00d2nuu8y|exact:sku:b00d2nuu8y|exact:upc:008100007820|lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,0.6923076923076923,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9557009264756556,4.0,0.0
95329,502260,1,0.8238822170281948,1,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9724812399499853,3.0,0.0
82957,502527,1,0.819040844944822,0,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8493168935711637,3.0,0.0
10873,19384,1,0.8158802193999517,1,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.20041322314049587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9993499213120252,3.0,0.0
110197,504635,1,0.7917485596268476,0,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7973153271721405,3.0,0.0
503472,504949,1,0.7805682027057785,1,exact:asin:b07zznbww6|exact:sku:b07zznbww6|exact:upc:080878191642|lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9682938737093949,4.0,0.0
64490,66860,1,0.7693108295794262,0,exact:sku:natbra 191620|lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.0,0.0,0.0,0.300187617260788,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9999920746073224,4.0,0.0
66209,66860,1,0.7677216182959835,0,exact:sku:natbra 191620|lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.0,0.0,0.0,0.300187617260788,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9995561981763339,4.0,0.0
64032,65002,1,0.7473901403134157,0,exact:sku:natbra 22390|lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,0.7647058823529411,1.0,0.4,0.75,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9525656138249674,4.0,0.0
255968,500282,1,0.7283782869456186,0,exact:asin:b0g51f7djt|exact:sku:b0g51f7djt|exact:upc:607608886687|lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,0.7413793103448276,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9752060292390015,4.0,0.0
100545,502735,1,0.7146152500569759,0,lexical:fts:0.7067|trigram:title:0.9846,1.0,1.0,1.0,0.9846153846153847,0.96875,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9893799999999999,0.9846,0.9904410888795024,3.0,0.0
133402,502927,1,0.711912089685348,0,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8180312664997946,3.0,0.0
64032,504973,1,0.6953973892466444,0,exact:sku:natbra 22390|lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,0.7647058823529411,1.0,0.4,0.75,1.0,0.0,0.0,0.0,0.015180265654648957,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9525656138249674,4.0,0.0
501649,504828,1,0.6654621564176643,0,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.45,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9917701183863622,3.0,0.0
