left_source_id,right_source_id,label,score,hard_contradiction,blocking_keys,same_retailer,brand_exact,brand_fuzzy,title_token_set,title_partial,category_exact,model_token_jaccard,salient_token_jaccard,size_match,size_conflict,pack_match,pack_conflict,price_ratio_diff,price_both_present,identifier_any,exact_ean,exact_gtin,exact_upc,exact_asin,exact_sku_same_retailer,exact_sku_cross_retailer,lexical_sim,trigram_sim,semantic_sim,retrieval_layer_count,variant_conflict
504047,505778,0,0.9990866729141309,0,exact:asin:b0g69r2vgd|exact:sku:b0g69r2vgd|lexical:fts:0.7143|trigram:title:1.0000,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0011507479861910242,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9451262632773216,4.0,0.0
158257,158280,0,0.9950774967503001,0,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9911930208347892,3.0,0.0
153499,182605,0,0.9923479069931004,0,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.0,0.0,0.0,0.03581267217630854,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9993775004850594,3.0,0.0
266087,505013,0,0.9906326317897135,0,exact:asin:b06xf385wf|exact:sku:b06xf385wf|exact:upc:071249343319|lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.984807172823589,4.0,0.0
106497,502318,0,0.9890271278295301,0,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9684918149727854,3.0,0.0
141152,505620,0,0.9889445822065308,0,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.0,1.0,0.0,0.08998940167646209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9986989714876249,3.0,0.0
71667,82400,0,0.9839842927134635,0,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.0,0.0,0.0,0.03002309468822171,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9581021058475901,3.0,0.0
504089,505631,0,0.9836249342540989,0,exact:asin:b0dczk3hph|lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8823529411764706,0.0,0.0,1.0,0.0,0.041542722330495434,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9928195480245916,4.0,0.0
58442,109007,0,0.9825210701963945,0,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.0,0.0,0.0,0.019904257999496095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9453313636840224,3.0,0.0
23608,24344,0,0.9805052921932741,0,lexical:fts:0.7143|trigram:title:1.0000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.035025017869907075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9960000988271135,3.0,0.0
